Latitude,Longitude,P/U,Year,Outcome,Area,State
-28.252302,153.57769,Provoked,2017,Uninjured,Kingscliff,New South Wales
-28.626065,153.594674,Unprovoked,2015,Uninjured,"Byron Bay, Belongi Beach",New South Wales
-28.640488,153.623174,,2014,Fatal,Clarked Beach at Byron,New South Wales
-28.636162,153.632361,Unprovoked,2015,Uninjured,Byron Bay,New South Wales
-28.653806,153.629681,Unprovoked,2016,Injured,Tallows Beach,New South Wales
-28.704257,153.615649,Unprovoked,2011,Injured,Suffolk Park,New South Wales
-28.768035,153.598528,Unprovoked,2015,Injured,Seven Mile Beach,New South Wales
-28.791546,153.595833,Unprovoked,2015,Uninjured,Lennox Head,New South Wales
-28.83998,153.606172,Unprovoked,2016,Injured,Sharpes Beach,New South Wales
-28.841289,153.606117,Unprovoked,2015,Uninjured,Ballina,New South Wales
-28.863547,153.597549,,2015,Fatal,Shelly Beach,New South Wales
-28.869037,153.592608,Unprovoked,2016,Uninjured,Lighthouse Beach,New South Wales
-28.872924,153.591367,,2008,Fatal,Lighthouse Beach,New South Wales
-28.873232,153.591244,Unprovoked,2015,Injured,Ballina North Wall,New South Wales
-29.112633,153.435917,Unprovoked,2015,Injured,Evans Head,New South Wales
-29.387627,153.36986,Unprovoked,2010,Injured,"Yamba, Iluka, Frasers Reef",New South Wales
-29.429741,153.364335,Unprovoked,2010,Uninjured,"Yamba, Turners Beach",New South Wales
-29.453221,153.364499,Unprovoked,2015,Uninjured,"Yamba, Flat Rock, Pippi Beach",New South Wales
-29.485644,153.364289,Unprovoked,2011,Injured,"Yamba, Angourie Beach",New South Wales
-30.063358,153.203164,Unprovoked,2010,Injured,Mullawarra Beach,New South Wales
-30.238262,153.153466,,2013,Fatal,Riecks Point,New South Wales
-31.184182,152.977066,Unprovoked,2010,Injured,Crescent Head,New South Wales
-31.308021,152.967925,Unprovoked,2010,Injured,Crescent Head,New South Wales
-31.428492,152.918772,Unprovoked,2014,Injured,Port Macquarie,New South Wales
-31.452947,152.931998,Unprovoked,2013,Injured,Port Macquarie,New South Wales
-31.477825,152.932373,Unprovoked,2014,Injured,Port Macquarie,New South Wales
-31.73854,152.793225,Unprovoked,2012,Injured,Kylie's beach,New South Wales
-31.841287,152.742638,Unprovoked,2011,Injured,Crowdy Heads,New South Wales
-31.997789,152.571346,Unprovoked,2012,Uninjured,Wallabi Point Old Bar,New South Wales
-32.006069,152.566012,Unprovoked,2015,Injured,"Saltwater Point, Nr Taree",New South Wales
-32.069601,152.544782,Unprovoked,2015,Injured,Black Head Beach,New South Wales
-32.31019,152.522243,Unprovoked,2016,Injured,The Ruin Booti Booti National Park,New South Wales
-32.679552,152.176981,Unprovoked,2011,Injured,"Port Stephens, Jimmys Beach",New South Wales
-32.948013,151.758458,Unprovoked,2015,Injured,Merewether Beach,New South Wales
-33.018046,151.715177,Unprovoked,2012,Injured,Redhead Beach,New South Wales
-33.018605,151.713838,Unprovoked,2012,Uninjured,Redhead Beach,New South Wales
-33.1000096,151.656707,Unprovoked,2016,Uninjured,Hams Beach,New South Wales
-33.459758,151.439274,Unprovoked,2012,Injured,North Avoca Beach,New South Wales
-33.556376,151.314793,Unprovoked,2012,Uninjured,Lion Island,New South Wales
-33.666114,151.321299,Unprovoked,2010,Injured,Mona Vale,New South Wales
-33.746993,151.304551,Unprovoked,2012,Uninjured,"Dee Why Beach, Sydney",New South Wales
-34.039586,151.169013,Unprovoked,2016,Uninjured,"Cronulla Beach, Sydney",New South Wales
-34.66176,150.855397,Unprovoked,2016,Injured,Bombo Beach,New South Wales
-35.073004,150.781394,Unprovoked,2013,Uninjured,Target Beach,New South Wales
-36.718382,149.980229,,2014,Fatal,Tathra Beach,New South Wales
-38.483774,145.018781,Unprovoked,2013,Injured,Flinders,Victoria
-38.285562,144.453721,Unprovoked,2010,Injured,"13th Beach, Boings",Victoria
-38.368884,144.285952,Unprovoked,2016,Uninjured,Bells Beach Winkipop Reef,Victoria
-38.368909,144.28383,Unprovoked,2014,Uninjured,Bells Beach Winkipop Reef,Victoria
-38.620006,142.991933,Unprovoked,2012,Injured,Port Campbell,Victoria
-38.258042,141.792794,Unprovoked,2015,Injured,Tyrendarra Beach ,Victoria
-35.514307,138.720097,Unprovoked,2014,Uninjured,Middleton Beach,South Australia
-35.631604,138.468034,Unprovoked,2014,Injured,Parsons Beach,South Australia
-35.141879,137.698465,,2014,Fatal,Edithburgh,South Australia
-35.233968,136.984808,Unprovoked,2012,Injured,Dolphin Bay,South Australia
-34.912033,135.681231,Unprovoked,2015,Injured,Fishery Bay Nr Port Lincoln,South Australia
-34.729139,135.161114,,2011,Fatal,Perforated Island ,South Australia
-33.644758,134.885424,Unprovoked,2014,Uninjured,Elliston Bar,South Australia
-32.796065,134.203144,Unprovoked,2012,Injured,Streaky Bay,South Australia
-33.829648,121.998373,Unprovoked,2014,Injured,"Wylie Bay, Esperance",Western Australia
-34.87498,118.399407,,2014,Fatal,Chaeynes Beach,Western Australia
-35.028835,117.292298,Unprovoked,2015,Injured,Ocean Beach,Western Australia
-35.040224,116.842195,Unprovoked,2010,Injured,Conspicuous Cliff Beach,Western Australia
-33.89989,114.984639,,2013,Fatal,Umbries off Gracetown,Western Australia
-33.861164,114.974686,,2010,Fatal,Gracetown,Western Australia
-33.698387,114.98741,Unprovoked,2016,Uninjured,Injidup Beach Yallingup,Western Australia
-33.543974,115.046366,,2011,Fatal,Dunsborough,Western Australia
-33.626587,115.397988,,2012,Fatal,Port Geographe Marina,Western Australia
-33.453638,115.573264,,2012,Fatal,Stratham Beach,Western Australia
-32.610392,115.62688,Unprovoked,2015,Injured,Pyramids Beach,Western Australia
-32.606667,115.627744,Unprovoked,2014,Injured,Pyramids Beach,Western Australia
-32.583211,115.643887,,2016,Fatal,Gearies,Western Australia
-32.408422,115.744461,Unprovoked,2013,Uninjured,Secret Harbour,Western Australia
-32.349675,115.742452,,2008,Fatal,Port Kennedy,Western Australia
-32.208128,115.669351,Unprovoked,2010,Injured,Garden Island,Western Australia
-31.995499,115.749463,,2011,Fatal,Cottesloe Beach,Western Australia
-31.879738,115.750884,Unprovoked,2016,Injured,Trigg Beach,Western Australia
-31.805031,115.727408,Unprovoked,2012,Uninjured,Pinnaroo Point,Western Australia
-31.784557,115.732517,Unprovoked,2012,Uninjured,Mullaloo Beach,Western Australia
-31.697827,115.70167,,2016,Fatal,One Mile Reef,Western Australia
-30.826921,115.19026,,2012,Fatal,Wedge Island,Western Australia
-30.825879,115.186356,Unprovoked,2010,Injured,Wedge Island,Western Australia
-30.827153,115.182248,,2012,Fatal,Wedge Island,Western Australia
-24.88139,113.62632,Unprovoked,2012,Injured,Red Bluff,Western Australia
-23.140072,113.770529,Provoked,2016,Uninjured,Coral Bay,Western Australia
-23.057005,113.820712,Unprovoked,2012,Injured,Coral Bay,Western Australia
-22.096627,113.888158,Unprovoked,2013,Injured,"Exmouth, Turquoise Bay",Western Australia
-21.871805,114.150613,Unprovoked,2016,Injured,Bundegi Sanctuary Zone Exmouth,Western Australia
-21.982674,114.131245,Unprovoked,2011,Injured,Exmouth,Western Australia
-10.579026,142.205881,Unprovoked,2010,Injured,"Thursday island, Torre Strait",Queensland
-16.194448,145.703655,,2014,Fatal,Rudder Reef,Queensland
-17.20883,146.0766,Unprovoked,2015,Injured,Russell Island,Queensland
-18.727466,146.57734,,2011,Fatal,"Challenger Bay, Palm Island",Queensland
-18.824526,147.649644,Unprovoked,2015,Uninjured,Davies Reef,Queensland
-20.348211,148.927784,Unprovoked,2010,Injured,Dent Island,Queensland
-20.281694,149.040284,Provoked,2016,Injured,Whitehaven Beach Whitsundays,Queensland
-23.440498,151.911544,Unprovoked,2016,Injured,Heron Island,Queensland
-24.863036,152.482844,Unprovoked,2010,Uninjured,"Bargara, Archies Beach",Queensland
-26.385087,153.091307,Unprovoked,2013,Injured,Noosa Heads,Queensland
-26.753612,153.137582,Unprovoked,2012,Uninjured,Wurtulla Beach,Queensland
-26.805732,153.141398,Unprovoked,2016,Injured,Kings Beach Sunshine Coast,Queensland
-27.955087,153.419428,Unprovoked,2015,Uninjured,Surfers Paradise,Queensland
-28.000086,153.425109,Unprovoked,2014,Injured,Chevron Island,Queensland
-28.016778,153.43503,Unprovoked,2013,Injured,Gold Coast,Queensland
-28.087065,153.454802,Unprovoked,2015,Uninjured,Burleigh Heads,Queensland
-40.92991,144.629072,Unprovoked,2016,Uninjured,Nettley Bay,Tasmania
-43.394884,145.970888,Unprovoked,2012,Injured,South West National Park,Tasmania
-42.64236,147.987889,,2015,Fatal,Maria and Lachland Islands,Tasmania
